datetime,Open,High,Low,Close,Volume
2021-05-05 12:00:00+00:00,57004.56304929761,57571.83887046352,56892.70327254939,57201.14395714286,3.7768899499999997
2021-05-06 00:00:00+00:00,57186.05335,58220.9685427231,56600.24941843244,58220.9685427231,20.519968360000004
2021-05-06 12:00:00+00:00,57871.432384302716,57871.432384302716,55512.55189772539,56316.47929080153,29.42247357
2021-05-07 00:00:00+00:00,56238.07551018119,56972.12059686618,55210.137024748314,56704.09470113636,33.90366634
2021-05-07 12:00:00+00:00,56438.1845,58582.95081851999,56412.45504953013,57405.61658110868,27.756477920000002
2021-05-08 00:00:00+00:00,57482.47869666676,59209.06164362235,57198.84324210166,58749.862434370996,21.966168249999996
2021-05-08 12:00:00+00:00,58481.7711331486,59622.456758785745,58064.32580759591,58832.101595038286,47.72891995999999
2021-05-09 00:00:00+00:00,58971.95140814699,59258.52181987661,57603.17339874731,57850.070574476966,26.925223970000005
2021-05-09 12:00:00+00:00,57840.31741738852,58362.40367400081,56442.307836141554,58035.1054352778,59.124913
2021-05-10 00:00:00+00:00,58409.20389737208,59688.76433351065,57601.48599351722,58160.92957803115,44.8403943
2021-05-10 12:00:00+00:00,57872.32909426952,58091.77407514272,54026.963557522606,55863.83021653709,103.32855104
2021-05-11 00:00:00+00:00,55727.66769381218,56385.88469594053,54586.51103432494,55443.69017043727,107.14029102999999
2021-05-11 12:00:00+00:00,55316.973053,56991.235709,55027.90410672427,56791.77364343762,31.600937740000003
2021-05-12 00:00:00+00:00,56969.06472932195,58323.49083599033,56246.270489529044,56827.428994272566,52.82247833
2021-05-12 12:00:00+00:00,56676.87343564859,57618.491903678434,47836.58254809579,48053.550130767144,189.57245359
2021-05-13 00:00:00+00:00,48438.62997039665,51460.028344493134,46642.2224816784,49631.9439675892,270.30841684999996
2021-05-13 12:00:00+00:00,49870.6111918413,50959.55836237264,47065.94322232885,49341.249719347914,210.93157305000003
2021-05-14 00:00:00+00:00,49598.00410563351,51026.0462652845,48912.40109092296,51026.0462652845,70.85988925999999
2021-05-14 12:00:00+00:00,50684.18908142857,51799.536186857775,48810.528428145546,49896.08282666667,81.98217537999999
2021-05-15 00:00:00+00:00,49782.297152781226,50435.28197067004,47870.55746473894,48768.61309421868,116.91143544
2021-05-15 12:00:00+00:00,48912.6690326953,50045.57031575796,46541.98890810664,46541.98890810664,139.38699562
2021-05-16 00:00:00+00:00,46757.16960024215,49678.02027770175,46757.16960024215,49032.74922154762,94.78483233
2021-05-16 12:00:00+00:00,48976.75169089278,49291.43202304419,44074.16910553852,46305.81376188777,305.24355828
2021-05-17 00:00:00+00:00,46248.39364330006,46313.695769211525,41795.221447344695,45705.36302660752,342.16921289000004
2021-05-17 12:00:00+00:00,45728.619287371555,45787.62009926268,41915.501172758,43517.77167570852,339.48974433
2021-05-18 00:00:00+00:00,43392.615544385124,45825.57127592466,43311.3511820561,45634.65171575989,111.45161381000001
2021-05-18 12:00:00+00:00,45352.02639142678,45352.02639142678,42442.56840632855,42860.40775131736,206.88077105999997
2021-05-19 00:00:00+00:00,42797.349162795,43521.6460487742,36590.197126895386,38594.353418,292.16815823999997
2021-05-19 12:00:00+00:00,38735.33897920065,40355.68398087877,29922.35767108091,36849.43682966335,544.40077229
2021-05-20 00:00:00+00:00,36748.331774166894,41018.89510877721,34925.57023684035,40426.613271678856,421.68702875
2021-05-20 12:00:00+00:00,40725.18830928305,43049.073382994524,38401.47304852983,40800.95242871125,349.41462099
2021-05-21 00:00:00+00:00,40853.341429186396,41914.10476012356,39310.35556503516,39946.204526,106.38861419
